CUSTOMER_CODE,FIRSTNAME,LASTNAME
CUST0000004008,Sara-Ann,Aida
CUST0000003421,Ardeen,Rheingold
CUST0000094635,Audrie,Wareing
CUST0000013269,Paule,Palocz
CUST0000008681,Sam,Ralfston
CUST0000010474,Peri,Koziara
CUST0000074003,Lesly,Palocz
CUST0000087483,Anica,Saree
CUST0000052792,Deane,Mike
CUST0000027665,Hayley,Gusella
CUST0000014954,Deane,Ader
CUST0000096097,Flory,Flyn
CUST0000042960,Mahalia,Beebe
CUST0000057068,Ottilie,Standing
CUST0000016619,Minne,Emmy
CUST0000053580,Cordi,Hachmin
CUST0000001290,Sashenka,Pulsifer
CUST0000067046,Ivett,Jess
CUST0000081939,Viki,Telfer
CUST0000060763,Valeda,Orelee
CUST0000043584,Nonnah,Hoenack
CUST0000090632,Viviene,Jena
CUST0000070155,Molli,Deegan
CUST0000066014,Vivia,Noelyn
CUST0000092277,Sophia,Hoban
CUST0000054255,Rosabelle,Etom
CUST0000066122,Diena,Adlare
CUST0000028561,Angela,Stanwood
CUST0000085385,Alexine,Ailyn
CUST0000052995,Corry,Kare
CUST0000030817,Dotty,Cottle
CUST0000016119,Jany,Fleeta
CUST0000081132,Eugine,Pozzy
CUST0000035278,Gavrielle,Roscoe
CUST0000074187,Courtnay,Danby
CUST0000016758,Rochette,Haldas
CUST0000052375,Kayla,Lilybelle
CUST0000009831,Mellicent,Mozelle
CUST0000092068,Dominga,Borrell
CUST0000084685,Molli,Johnsson
CUST0000088114,Livvyy,Belldas
CUST0000001788,Blondelle,Cutlerr
CUST0000045892,Corry,Autrey
CUST0000014653,Leanna,Hanshaw
CUST0000084608,Ronna,Hoenack
CUST0000065099,Melodie,Argus
CUST0000063796,Ayn,Junie
CUST0000079409,Sarette,Socha
CUST0000031799,Barbi,Seligman
CUST0000019545,Perry,Warthman
CUST0000047266,Randa,Gahl
CUST0000001785,Vanessa,Harday
CUST0000092009,Xylina,Garbe
CUST0000025430,Claudina,Bibi
CUST0000082169,Morganica,Nickola
